InstanceSize,Algorithm,AverageRelativeError,MaximumRelativeError
10,GreedyHeuristic,0.01304135768884159,0.5314533622559653
10,GreedyHeuristicRedux,0.010439515277492512,0.16420687089172764
15,GreedyHeuristic,0.00968409329705529,0.2368345323741007
15,GreedyHeuristicRedux,0.009262655430998792,0.2368345323741007
20,GreedyHeuristic,0.008604035471106143,0.43005396430053966
20,GreedyHeuristicRedux,0.007743927542505064,0.13555662188099807
22,GreedyHeuristic,0.007785234156336906,0.40384615384615385
22,GreedyHeuristicRedux,0.00663393529126755,0.13180911462329292
4,GreedyHeuristic,0.01453364033065137,0.35918854415274465
4,GreedyHeuristicRedux,0.012193716953006127,0.35918854415274465
