InstanceSize,Algorithm,AverageRelativeError,MaximumRelativeError
10,GreedyHeuristic,0.09023016223319434,0.24958402662229617
10,GreedyHeuristicRedux,0.09023016223319434,0.24958402662229617
15,GreedyHeuristic,0.06139772376186284,0.15485775630703166
15,GreedyHeuristicRedux,0.06139772376186284,0.15485775630703166
20,GreedyHeuristic,0.04991398549155314,0.1117392750249418
20,GreedyHeuristicRedux,0.04991398549155314,0.1117392750249418
22,GreedyHeuristic,0.042665951839151776,0.10232276530162923
22,GreedyHeuristicRedux,0.042665951839151776,0.10232276530162923
4,GreedyHeuristic,0.12939703361800614,0.490298291340863
4,GreedyHeuristicRedux,0.12430485378243322,0.4308809746954077
