InstanceSize,Epsilon,MaximumRelativeError,AverageTime
10,0.30000001192092896,0.07097791798107256,30.382
10,0.5,0.06796673358187554,13.08
10,0.8999999761581421,0.08847146544307427,8.114
15,0.30000001192092896,0.037462652263847394,67.216
15,0.5,0.04193200744587048,45.378
15,0.8999999761581421,0.041313139322813414,32.048
20,0.30000001192092896,0.027756110244409778,175.42
20,0.5,0.027756110244409778,94.892
20,0.8999999761581421,0.027756110244409778,52.284
22,0.30000001192092896,0.018611389724729744,225.024
22,0.5,0.021506795091700753,129.59
22,0.8999999761581421,0.02518122853872568,71.42
4,0.30000001192092896,0.5827777777777777,1.528
4,0.5,0.5827777777777777,1.012
4,0.8999999761581421,0.5827777777777777,0.752
