InstanceSize,Algorithm,AverageRelativeError,MaximumRelativeError
10,GreedyHeuristic,0.23775826849091153,0.9808967861953942
10,GreedyHeuristicRedux,0.0015200385299813139,0.0930294195600318
15,GreedyHeuristic,0.19691437057539785,0.9119001919385796
15,GreedyHeuristicRedux,0.0015277526744851147,0.07515432098765432
20,GreedyHeuristic,0.1964125658001593,0.8707018485099741
20,GreedyHeuristicRedux,0.0026597008515403036,0.10454985479186835
22,GreedyHeuristic,0.23562014957047037,0.9868633739576652
22,GreedyHeuristicRedux,0.002595640364822125,0.08830937916728404
4,GreedyHeuristic,0.3379792658412129,0.9942196531791907
4,GreedyHeuristicRedux,0,0
