InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.05,0.05025539665515803,0.08527190547032681,7
40,Tournament,TwoPoint,20,20,0.3,0.1,0.15484963905574384,0.19266704122188236,1
40,Tournament,TwoPoint,20,20,0.3,0.5,0.30682720326650537,0.32031686770962636,1
40,Tournament,TwoPoint,20,20,0.4,0.05,0.05891904087720934,0.07188500015142185,1
40,Tournament,TwoPoint,20,20,0.4,0.1,0.16993935797893256,0.2740564562743407,1
40,Tournament,TwoPoint,20,20,0.4,0.5,0.3398707969912887,0.4162700255398189,1
40,Tournament,TwoPoint,20,20,0.5,0.05,0.10252427282886896,0.12736958195476206,1
40,Tournament,TwoPoint,20,20,0.5,0.1,0.2156179907638105,0.23676320650912064,2
40,Tournament,TwoPoint,20,20,0.5,0.5,0.3111882551081241,0.344739184273663,2
40,Tournament,TwoPoint,20,20,0.6,0.05,0.1346223067619093,0.19877351474586397,2
40,Tournament,TwoPoint,20,20,0.6,0.1,0.22809357941064423,0.240155055975611,1
40,Tournament,TwoPoint,20,20,0.6,0.5,0.32218002863185025,0.3707109760652527,2
40,Tournament,TwoPoint,20,20,0.7,0.05,0.2270266122538142,0.2920802380506482,2
40,Tournament,TwoPoint,20,20,0.7,0.1,0.26035027698333246,0.30495037143392223,2
40,Tournament,TwoPoint,20,20,0.7,0.5,0.3551452270529983,0.40999475756799925,2
40,Tournament,TwoPoint,20,40,0.3,0.05,0.02018306327367884,0.03410533325009884,3
40,Tournament,TwoPoint,20,40,0.3,0.1,0.12519475908993974,0.16123526327981175,3
40,Tournament,TwoPoint,20,40,0.3,0.5,0.32590562892363095,0.38045244849133364,3
40,Tournament,TwoPoint,20,40,0.4,0.05,0.07562501090441492,0.16201338905657456,8
40,Tournament,TwoPoint,20,40,0.4,0.1,0.1332547952477078,0.16711166380161663,2
40,Tournament,TwoPoint,20,40,0.4,0.5,0.3036740785605279,0.3469625614736623,2
40,Tournament,TwoPoint,20,40,0.5,0.05,0.13021954752999576,0.18405830750749538,2
40,Tournament,TwoPoint,20,40,0.5,0.1,0.1892085666791085,0.24761047906508785,3
40,Tournament,TwoPoint,20,40,0.5,0.5,0.3302284721225973,0.39732757884983483,2
40,Tournament,TwoPoint,20,40,0.6,0.05,0.11144361432779881,0.15472873616593144,2
40,Tournament,TwoPoint,20,40,0.6,0.1,0.24039323777276636,0.2739616991841414,2
40,Tournament,TwoPoint,20,40,0.6,0.5,0.3285574614912516,0.37395885647143545,3
40,Tournament,TwoPoint,20,40,0.7,0.05,0.17576667686573774,0.25195910283987,7
40,Tournament,TwoPoint,20,40,0.7,0.1,0.28544119569748483,0.4148654923104621,3
40,Tournament,TwoPoint,20,40,0.7,0.5,0.33087917551080137,0.4028016531948356,3
40,Tournament,TwoPoint,20,60,0.3,0.05,0.026617786894910844,0.04904049020300623,3
40,Tournament,TwoPoint,20,60,0.3,0.1,0.10716723393654806,0.14624448572091944,3
40,Tournament,TwoPoint,20,60,0.3,0.5,0.3065468119703395,0.37402206721111236,4
40,Tournament,TwoPoint,20,60,0.4,0.05,0.02077325637571218,0.04614328545037906,10
40,Tournament,TwoPoint,20,60,0.4,0.1,0.12800120599375842,0.23939794671969797,3
40,Tournament,TwoPoint,20,60,0.4,0.5,0.32073046759691287,0.35637565073211175,16
40,Tournament,TwoPoint,20,60,0.5,0.05,0.12133784578914741,0.17412562895018618,3
40,Tournament,TwoPoint,20,60,0.5,0.1,0.19596532695527108,0.24274871367250053,4
40,Tournament,TwoPoint,20,60,0.5,0.5,0.37067747870204737,0.4008590666357093,4
40,Tournament,TwoPoint,20,60,0.6,0.05,0.09881767991856535,0.14495286846869343,4
40,Tournament,TwoPoint,20,60,0.6,0.1,0.22011738521690788,0.2736915255477122,4
40,Tournament,TwoPoint,20,60,0.6,0.5,0.3449107095291799,0.43481706350657745,5
40,Tournament,TwoPoint,20,60,0.7,0.05,0.2658038301565866,0.3203480683619184,4
40,Tournament,TwoPoint,20,60,0.7,0.1,0.24657466695172325,0.29901547383282956,6
40,Tournament,TwoPoint,20,60,0.7,0.5,0.3049836276439627,0.3255843200990635,4
40,Tournament,TwoPoint,20,80,0.3,0.05,0.012219160501410378,0.018922684002786162,4
40,Tournament,TwoPoint,20,80,0.3,0.1,0.1413527446385156,0.17636516586811016,5
40,Tournament,TwoPoint,20,80,0.3,0.5,0.2998693047649331,0.36085273737436796,5
40,Tournament,TwoPoint,20,80,0.4,0.05,0.0799163721823413,0.0953347067024575,4
50,Tournament,TwoPoint,20,20,0.3,0.05,0.07876835915343286,0.1412977016868683,1
50,Tournament,TwoPoint,20,20,0.3,0.1,0.17033549041273616,0.1908392137096774,1
50,Tournament,TwoPoint,20,20,0.3,0.5,0.3468242822692731,0.38811459195050896,1
40,Tournament,TwoPoint,20,80,0.4,0.1,0.17139709192625255,0.2264564258386247,5
50,Tournament,TwoPoint,20,20,0.4,0.05,0.10161243461462885,0.13710308029622362,1
50,Tournament,TwoPoint,20,20,0.4,0.1,0.14180328426909825,0.20305362730640578,1
50,Tournament,TwoPoint,20,20,0.4,0.5,0.32401999769044415,0.382495184745948,1
50,Tournament,TwoPoint,20,20,0.5,0.05,0.13069338208427345,0.1652102096196956,1
40,Tournament,TwoPoint,20,80,0.4,0.5,0.32277488660439746,0.41355057535842854,6
50,Tournament,TwoPoint,20,20,0.5,0.1,0.19822807775863838,0.2642073386557596,1
50,Tournament,TwoPoint,20,20,0.5,0.5,0.31701423177254995,0.3279742006528493,1
50,Tournament,TwoPoint,20,20,0.6,0.05,0.21739161488212527,0.2765249537892791,2
40,Tournament,TwoPoint,20,80,0.5,0.05,0.06756826254031094,0.10296685880417117,6
50,Tournament,TwoPoint,20,20,0.6,0.1,0.2103541154162952,0.2557762021313282,1
50,Tournament,TwoPoint,20,20,0.6,0.5,0.36963272277025083,0.4098028989677373,1
50,Tournament,TwoPoint,20,20,0.7,0.05,0.22386778988346617,0.2651422508362407,1
40,Tournament,TwoPoint,20,80,0.5,0.1,0.20503560888479413,0.25411956449641343,6
50,Tournament,TwoPoint,20,20,0.7,0.1,0.2892903085682253,0.32945708525345624,2
50,Tournament,TwoPoint,20,20,0.7,0.5,0.3548595546399662,0.40096392475632125,1
50,Tournament,TwoPoint,20,40,0.3,0.05,0.04785626801346975,0.05879576827781492,2
40,Tournament,TwoPoint,20,80,0.5,0.5,0.32470244743821963,0.40796717614395495,6
50,Tournament,TwoPoint,20,40,0.3,0.1,0.12486301131404987,0.1733780961981567,3
50,Tournament,TwoPoint,20,40,0.3,0.5,0.3142220504730652,0.34471331365177094,3
40,Tournament,TwoPoint,20,80,0.6,0.05,0.14985486915730198,0.17501337559685445,6
50,Tournament,TwoPoint,20,40,0.4,0.05,0.09529536991244054,0.13078609650266018,2
50,Tournament,TwoPoint,20,40,0.4,0.1,0.1687437354872387,0.222898608063878,3
40,Tournament,TwoPoint,20,80,0.6,0.1,0.2009340737965099,0.26759889298125145,6
