InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.05,0.12328644549698616,1,2
40,Tournament,TwoPoint,20,20,0.3,0.1,0.18621981743101487,1,2
40,Tournament,TwoPoint,20,20,0.3,0.5,0.32774507870072406,1,2
40,Tournament,TwoPoint,20,20,0.4,0.05,0.13913925460427554,1,1
40,Tournament,TwoPoint,20,20,0.4,0.1,0.2093489465778389,1,1
40,Tournament,TwoPoint,20,20,0.4,0.5,0.3284146741966875,1,1
40,Tournament,TwoPoint,20,20,0.5,0.05,0.16688891736883982,1,1
40,Tournament,TwoPoint,20,20,0.5,0.1,0.2323868356347724,1,1
40,Tournament,TwoPoint,20,20,0.5,0.5,0.3259858445005652,1,1
40,Tournament,TwoPoint,20,20,0.6,0.05,0.204295395480729,1,1
40,Tournament,TwoPoint,20,20,0.6,0.1,0.26449192420087986,1,1
40,Tournament,TwoPoint,20,20,0.6,0.5,0.3350406964637218,1,1
40,Tournament,TwoPoint,20,20,0.7,0.05,0.2642169005483762,1,1
40,Tournament,TwoPoint,20,20,0.7,0.1,0.2935234261673373,1,1
40,Tournament,TwoPoint,20,20,0.7,0.5,0.3544198877873164,1,1
40,Tournament,TwoPoint,20,40,0.3,0.05,0.09404081699346369,1,3
40,Tournament,TwoPoint,20,40,0.3,0.1,0.18996132561864598,1,3
40,Tournament,TwoPoint,20,40,0.3,0.5,0.3264354733796765,1,3
40,Tournament,TwoPoint,20,40,0.4,0.05,0.13497306239529563,1,3
40,Tournament,TwoPoint,20,40,0.4,0.1,0.20296579238186874,1,3
40,Tournament,TwoPoint,20,40,0.4,0.5,0.3315012088359526,1,3
40,Tournament,TwoPoint,20,40,0.5,0.05,0.1620721056388122,1,3
40,Tournament,TwoPoint,20,40,0.5,0.1,0.23214293059730473,1,3
40,Tournament,TwoPoint,20,40,0.5,0.5,0.3379558786787952,1,3
40,Tournament,TwoPoint,20,40,0.6,0.05,0.2050546699398702,1,3
40,Tournament,TwoPoint,20,40,0.6,0.1,0.2645445808328181,1,3
40,Tournament,TwoPoint,20,40,0.6,0.5,0.34548844518615035,1,3
40,Tournament,TwoPoint,20,40,0.7,0.05,0.25506846722822707,1,3
40,Tournament,TwoPoint,20,40,0.7,0.1,0.3036347832079224,1,3
40,Tournament,TwoPoint,20,40,0.7,0.5,0.36990681067518294,1,4
40,Tournament,TwoPoint,20,60,0.3,0.05,0.09674471637984931,1,4
40,Tournament,TwoPoint,20,60,0.3,0.1,0.1939760145429558,1,4
40,Tournament,TwoPoint,20,60,0.3,0.5,0.3352963097130873,1,5
40,Tournament,TwoPoint,20,60,0.4,0.05,0.1340477845081491,1,4
40,Tournament,TwoPoint,20,60,0.4,0.1,0.21789602342397607,1,5
40,Tournament,TwoPoint,20,60,0.4,0.5,0.33387641415300345,1,5
40,Tournament,TwoPoint,20,60,0.5,0.05,0.16422289759550626,1,4
40,Tournament,TwoPoint,20,60,0.5,0.1,0.2430657255920215,1,5
40,Tournament,TwoPoint,20,60,0.5,0.5,0.33607399530223536,1,5
