InstanceSize,SelectionMethod,CrossoverMethod,PopulationSize,MaxGenerations,SelectionRate,MutationRate,AvgRelativeError,MaxRelativeError,TimeElapsed
40,Tournament,TwoPoint,20,20,0.3,0.02,0.035224101148273075,0.199207135777998,5
50,Tournament,TwoPoint,20,20,0.3,0.02,0.05574325476387796,0.1943031536113937,4
60,Tournament,TwoPoint,20,20,0.3,0.02,0.08734474086445732,0.236449864498645,4
40,Tournament,TwoPoint,20,20,0.3,0.05,0.03523866569239321,0.2180376610505451,4
50,Tournament,TwoPoint,20,20,0.3,0.05,0.06741792327108999,0.2342857142857143,4
70,Tournament,TwoPoint,20,20,0.3,0.02,0.10614522671824474,0.23285398230088494,4
60,Tournament,TwoPoint,20,20,0.3,0.05,0.0932792985915949,0.3519163763066202,4
40,Tournament,TwoPoint,20,20,0.3,0.1,0.07286252702769751,0.32645403377110693,4
50,Tournament,TwoPoint,20,20,0.3,0.1,0.10532739674890944,0.43947100712105797,4
70,Tournament,TwoPoint,20,20,0.3,0.05,0.11667678659105828,0.38100208768267224,5
40,Tournament,TwoPoint,20,20,0.4,0.02,0.03780302033359831,0.13875123885034688,3
60,Tournament,TwoPoint,20,20,0.3,0.1,0.13876335995897382,0.39357429718875503,5
50,Tournament,TwoPoint,20,20,0.4,0.02,0.06253600589479416,0.16009852216748768,4
40,Tournament,TwoPoint,20,20,0.4,0.05,0.04344653847719125,0.21605550049554015,3
70,Tournament,TwoPoint,20,20,0.3,0.1,0.1574308726696466,0.5334029227557411,5
60,Tournament,TwoPoint,20,20,0.4,0.02,0.09828863338118317,0.2717536813922356,4
50,Tournament,TwoPoint,20,20,0.4,0.05,0.0758182910599123,0.28789420142421157,4
40,Tournament,TwoPoint,20,20,0.4,0.1,0.07078710841208338,0.2993062438057483,3
70,Tournament,TwoPoint,20,20,0.4,0.02,0.1123233636378455,0.21321902654867256,4
60,Tournament,TwoPoint,20,20,0.4,0.05,0.10399184189146572,0.3493975903614458,4
40,Tournament,TwoPoint,20,20,0.5,0.02,0.04206573931408261,0.12325993419387497,3
50,Tournament,TwoPoint,20,20,0.4,0.1,0.11258724574483212,0.43743641912512715,5
70,Tournament,TwoPoint,20,20,0.4,0.05,0.12580164319886353,0.27035490605427975,5
40,Tournament,TwoPoint,20,20,0.5,0.05,0.04946014237761696,0.32210109018830524,3
60,Tournament,TwoPoint,20,20,0.4,0.1,0.14229929976765526,0.35475234270414996,5
50,Tournament,TwoPoint,20,20,0.5,0.02,0.07905358686279688,0.3041709053916582,3
40,Tournament,TwoPoint,20,20,0.5,0.1,0.07907562185566076,0.3914767096134787,4
60,Tournament,TwoPoint,20,20,0.5,0.02,0.10637794433834262,0.23025435073627845,4
50,Tournament,TwoPoint,20,20,0.5,0.05,0.08720878479083641,0.237029501525941,4
70,Tournament,TwoPoint,20,20,0.4,0.1,0.16084373371685884,0.48538622129436326,5
40,Tournament,TwoPoint,20,20,0.6,0.02,0.05028534654555341,0.24265165728580362,3
60,Tournament,TwoPoint,20,20,0.5,0.05,0.11559220337780865,0.3218157181571816,4
70,Tournament,TwoPoint,20,20,0.5,0.02,0.1216855520552287,0.18867395570507428,4
50,Tournament,TwoPoint,20,20,0.5,0.1,0.11780753505919125,0.4547304170905392,5
40,Tournament,TwoPoint,20,20,0.6,0.05,0.052240398348240576,0.2320200125078174,3
50,Tournament,TwoPoint,20,20,0.6,0.02,0.08456428859144059,0.48,4
60,Tournament,TwoPoint,20,20,0.5,0.1,0.15464846251224937,0.3845588235294118,5
70,Tournament,TwoPoint,20,20,0.5,0.05,0.12631139701018093,0.19152520409485552,5
40,Tournament,TwoPoint,20,20,0.6,0.1,0.0831835332287578,0.3696060037523452,4
50,Tournament,TwoPoint,20,20,0.6,0.05,0.08801011140939126,0.2714285714285714,4
60,Tournament,TwoPoint,20,20,0.6,0.02,0.11272017389049155,0.2926829268292683,4
40,Tournament,TwoPoint,20,20,0.7,0.02,0.05668772330196547,0.3557978196233895,3
70,Tournament,TwoPoint,20,20,0.5,0.1,0.17304291945068656,0.48329853862212946,5
50,Tournament,TwoPoint,20,20,0.6,0.1,0.12152442626656829,0.3354679802955665,5
60,Tournament,TwoPoint,20,20,0.6,0.05,0.12538574092066232,0.285140562248996,4
40,Tournament,TwoPoint,20,20,0.7,0.05,0.061474956833673496,0.30921704658077304,3
70,Tournament,TwoPoint,20,20,0.6,0.02,0.1361438275190908,0.3162839248434238,4
50,Tournament,TwoPoint,20,20,0.7,0.02,0.09181565967870146,0.4486266531027467,4
40,Tournament,TwoPoint,20,20,0.7,0.1,0.09178885103377128,0.5104063429137761,4
60,Tournament,TwoPoint,20,20,0.6,0.1,0.1538806556481969,0.3639705882352941,5
70,Tournament,TwoPoint,20,20,0.6,0.05,0.14060052025833947,0.5104384133611691,5
50,Tournament,TwoPoint,20,20,0.7,0.05,0.0989788027059759,0.31285714285714283,4
60,Tournament,TwoPoint,20,20,0.7,0.02,0.11438485489215036,0.2757697456492637,4
70,Tournament,TwoPoint,20,20,0.6,0.1,0.17245597732896095,0.6096033402922756,6
40,Tournament,TwoPoint,20,40,0.3,0.02,0.027973335397569923,0.21605550049554015,7
50,Tournament,TwoPoint,20,20,0.7,0.1,0.1304106779360789,0.43845371312309256,5
60,Tournament,TwoPoint,20,20,0.7,0.05,0.12808424851623443,0.26822706483723435,4
70,Tournament,TwoPoint,20,20,0.7,0.02,0.14325289448726194,0.31941544885177453,4
60,Tournament,TwoPoint,20,20,0.7,0.1,0.15681919802544367,0.39372822299651566,5
40,Tournament,TwoPoint,20,40,0.3,0.05,0.022974517439044634,0.12382739212007504,8
50,Tournament,TwoPoint,20,40,0.3,0.02,0.01955335139530881,0.25534079348931843,8
70,Tournament,TwoPoint,20,20,0.7,0.05,0.14473793681141964,0.407098121085595,5
70,Tournament,TwoPoint,20,20,0.7,0.1,0.1777341970651408,0.48956158663883087,5
60,Tournament,TwoPoint,20,40,0.3,0.02,0.019817701146630073,0.18072289156626506,8
40,Tournament,TwoPoint,20,40,0.3,0.1,0.029092794190261492,0.22101090188305253,8
50,Tournament,TwoPoint,20,40,0.3,0.05,0.020573937145356703,0.08952187182095625,9
70,Tournament,TwoPoint,20,40,0.3,0.02,0.030276981622979565,0.11899791231732777,8
40,Tournament,TwoPoint,20,40,0.4,0.02,0.026513198760784788,0.1807379612257661,8
60,Tournament,TwoPoint,20,40,0.3,0.05,0.04210242530516659,0.28088235294117647,9
50,Tournament,TwoPoint,20,40,0.3,0.1,0.06975772765962286,0.34285714285714286,9
40,Tournament,TwoPoint,20,40,0.4,0.05,0.01953737706851597,0.08225966303270565,7
70,Tournament,TwoPoint,20,40,0.3,0.05,0.06033347959819404,0.29227557411273486,9
50,Tournament,TwoPoint,20,40,0.4,0.02,0.017863256775146618,0.12309257375381485,7
60,Tournament,TwoPoint,20,40,0.3,0.1,0.09443864140957847,0.29132791327913277,10
40,Tournament,TwoPoint,20,40,0.4,0.1,0.032687104711535214,0.14071294559099437,8
50,Tournament,TwoPoint,20,40,0.4,0.05,0.023668117602797842,0.1163895486935867,8
