Parameter,RelativeError,SatisfiedFormulas,AvgUnsatisfiedClauses,MaxUnsatisfiedClauses,Time
wuf-A1\wuf20-88-A1,0.31522189506461346,0.35,3.1538461538461537,6,10.07
wuf-A1\wuf20-91-A1,0.24745172270441557,0.07,3.053763440860215,5,10.93
wuf-M1\wuf20-78-M1,0.15610434362190703,0.83,2.4705882352941178,3,5.12
wuf-M1\wuf50-201-M1,0,0,9.794117647058824,13,17.058823529411764
wuf-N1\wuf20-78-N1,0.15714535361358978,0.79,2.4285714285714284,3,4.53
wuf-N1\wuf50-201-N1,0,0,9.823529411764707,15,17.558823529411764
wuf-Q1\wuf20-78-Q1,0.3392302290533039,0.71,2.310344827586207,5,4.46
wuf-Q1\wuf50-201-Q1,0,0,10.147058823529411,14,17.41176470588235
wuf-R1\wuf20-78-R1,0.3488232297236956,0.79,2.5714285714285716,4,5.3
wuf-R1\wuf50-201-R1,0,0,9.588235294117647,14,18.764705882352942
