Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
509299,0,5224,3294.38,75
509299,1,5224,3301.12,75
515499,2,4703,3537.14,76
515499,3,4703,3566.86,76
522503,4,4986,3810.4,77
528651,5,4413,4192.62,78
529369,6,5131,4384.28,78
529369,7,5131,4261.54,78
529369,8,5131,4398.82,78
529420,9,5182,4588.96,78
529420,10,5182,4646.78,78
529420,11,5182,4752.72,78
529745,12,5507,4692.56,78
529745,13,5507,4671.16,78
529745,14,5507,4637.74,78
530090,15,5852,4570.26,78
530090,16,5852,4660.9,78
530090,17,5852,4987.94,78
530090,18,5852,5165.46,78
530090,19,5852,5020.48,78
530090,20,5852,5201.2,78
530090,21,5852,5256.74,78
530090,22,5852,5201.58,78
530090,23,5852,5229.78,78
530090,24,5852,5178.06,78
530090,25,5852,5440.74,78
530090,26,5852,5177.88,78
530090,27,5852,5115.6,78
530273,28,6035,5176.5,78
530273,29,6035,5010.3,78
530273,30,6035,5238.74,78
530273,31,6035,5302.8,78
530428,32,6190,5436.3,78
530428,33,6190,5477.62,78
530428,34,6190,5280.5,78
530428,35,6190,5236.44,78
530428,36,6190,5052.34,78
530428,37,6190,5172.76,78
530428,38,6190,5120.28,78
530428,39,6190,5038.74,78
