Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
11535633,0,22910,20552.65,283
11538267,1,25544,20548.02,283
11648687,2,13921,21453.94,286
11696776,3,21329,21661.57,287
11782190,4,25381,22729.69,289
11784403,5,27594,22735.47,289
11866365,6,28194,23276.32,291
11867611,7,29440,22785.21,291
11907430,8,28578,23178.55,292
11988400,9,28186,23461.92,294
12067654,10,26078,23650.26,296
12068142,11,26566,23827.48,296
12106755,12,24498,23841.97,297
12106755,13,24498,24561.09,297
12106755,14,24498,24862.39,297
12106755,15,24498,25489.1,297
12106755,16,24498,25185.33,297
12151559,17,28621,24812.1,298
12151559,18,28621,25202.24,298
12151559,19,28621,25204.44,298
12191303,20,27684,25307.1,299
12191303,21,27684,25837.32,299
12229129,22,24829,25022.03,300
12275666,23,30685,25239.64,301
12354196,24,27853,25117.81,303
12354196,25,27853,25588.97,303
12394876,26,27852,25539.81,304
12394876,27,27852,25149.61,304
12394876,28,27852,25858.99,304
12394876,29,27852,25491.89,304
12394876,30,27852,25080.33,304
12394876,31,27852,24951.53,304
12395418,32,28394,24763.29,304
12395418,33,28394,24655.19,304
12396220,34,29196,24298.5,304
12396220,35,29196,24748.55,304
12396220,36,29196,25120.51,304
12396220,37,29196,25098.65,304
12396220,38,29196,25321.9,304
12396220,39,29196,25508.61,304
12396220,40,29196,25087.79,304
12396220,41,29196,25315.36,304
12396259,42,29235,25540.15,304
12396259,43,29235,25161.45,304
12396259,44,29235,24402.48,304
12396259,45,29235,24973.39,304
12396259,46,29235,25039.49,304
12396259,47,29235,25481.69,304
12396259,48,29235,25959.86,304
12396259,49,29235,26289.2,304
