MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses
11768078,11062605.3325,0,14448,289
11768078,11166095.65,1,14448,289
11768078,11225769.2375,2,14448,289
11773017,11286891.71,3,19387,289
11848733,11309542.7875,4,13763,291
11942950,11335188.645,5,26640,293
11942950,11350209.5425,6,26640,293
11942950,11351936.9825,7,26640,293
12024768,11375759.5725,8,27118,295
12025747,11414023.415,9,28097,295
12065347,11446229.0725,10,27027,296
12065347,11463995.815,11,27027,296
12065347,11497885.455,12,27027,296
12065347,11489935.705,13,27027,296
12065347,11499847.465,14,27027,296
12065347,11517533.3375,15,27027,296
12104153,11549667.2,16,25163,297
12228043,11566080.1375,17,27043,300
12228043,11579315.8025,18,27043,300
12228043,11563768.8775,19,27043,300
12228043,11580520.655,20,27043,300
12228043,11602631.7625,21,27043,300
12228043,11602091.68,22,27043,300
12228043,11608865.57,23,27043,300
12228043,11633760.7475,24,27043,300
12228043,11627344.4875,25,27043,300
12228690,11620209.165,26,27690,300
12229132,11631545.9575,27,28132,300
12229132,11649260.8925,28,28132,300
12229868,11645863.4825,29,28868,300
12229868,11657499.725,30,28868,300
12310413,11677482.4825,31,28073,302
12310413,11652893.885,32,28073,302
12310413,11639843.9125,33,28073,302
12310413,11644568.165,34,28073,302
12310413,11619644.37,35,28073,302
12310413,11604430.785,36,28073,302
12310413,11623008.3625,37,28073,302
12310413,11620044.205,38,28073,302
12310413,11613838.3025,39,28073,302
12310413,11643497.3975,40,28073,302
12310413,11641314.605,41,28073,302
12355363,11623605.5775,42,32353,303
12355363,11615066.475,43,32353,303
12355363,11601510.56,44,32353,303
12355363,11601823.7,45,32353,303
12355363,11569874.185,46,32353,303
12355363,11607558.3675,47,32353,303
12477133,11620989.465,48,32113,306
12477133,11607813.375,49,32113,306
