GenerationId,BestWeight,AverageWeight,UnsatisfiedClauses
0,19718,12628.49,30
1,20284,13910.08,31
2,20300,15360.31,31
3,21644,16865.49,27
4,21644,17834.37,27
5,21644,18530.8,27
6,21998,19346.53,26
7,22111,19741.16,23
8,22765,20058.64,22
9,22765,19980.82,22
10,22765,20294.31,22
11,22977,20517.64,18
12,22976,20718.32,15
13,22976,21358.94,15
14,22976,21478.84,15
15,22976,21473.74,15
16,22975,21484.18,14
17,23622,21616.98,18
18,23622,21776,18
19,24058,21840.46,19
20,24057,22009.1,15
21,24057,22247.62,15
22,23983,22475.39,11
23,23983,22687.7,11
24,24282,22901.27,13
25,24282,22937.02,13
26,24282,23023.79,13
27,24041,22858.23,7
28,24041,23071.99,7
29,24041,22913.73,7
30,24635,22814,12
31,24438,23017.71,9
32,24438,23110.06,9
33,24476,23058.72,8
34,24476,22829.12,8
35,24476,23110.08,8
36,24476,23127.04,8
37,24476,23107.92,8
38,24476,23129.41,8
39,24279,23384.08,6
40,24279,23348.03,6
41,24279,23452.42,6
42,24279,23347.61,6
43,24279,23442.46,6
44,24279,23452.44,6
45,24279,23310.35,6
46,24279,23252.37,6
47,24493,23280.52,8
48,24235,23506.59,4
49,24235,23355.21,4
50,24235,23605.35,4
51,24235,23502.39,4
52,24235,23735.57,4
53,24235,23595.55,4
54,24235,23465.72,4
55,24235,23452.01,4
56,24457,23488.94,6
57,24457,23299.95,6
58,24457,23399.08,6
59,24457,23382,6
60,24457,23322.32,6
61,24457,23334.65,6
62,24457,23281.45,6
63,24457,23165.65,6
64,24457,23314.01,6
65,24457,23504.69,6
66,24457,23336.89,6
67,24457,23459.45,6
68,24457,23621.13,6
69,24457,23442.01,6
70,24457,23524.17,6
71,24457,23679.67,6
72,24457,23460.45,6
73,24457,23484.33,6
74,24457,23675.57,6
75,24457,23592.49,6
76,24457,23480.51,6
77,24457,23396.78,6
78,24457,23285.34,6
79,24457,23436.71,6
80,24457,23408.97,6
81,24457,23536.06,6
82,24457,23470.23,6
83,24457,23499.62,6
84,24457,23537.46,6
85,24457,23502.51,6
86,24457,23600.02,6
87,24457,23653.72,6
88,23414,23609.01,1
89,23414,23291.13,1
90,23414,23427.86,1
91,23414,23380.95,1
92,23414,23349.97,1
93,23414,23012.36,1
94,23414,23028.95,1
95,23414,22868.2,1
96,23414,22812.5,1
97,23414,22790.19,1
98,23414,22963.39,1
99,23414,22775.92,1
