Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
16677,0,14817,12510.53,186
15424,1,13554,13507.78,187
17362,2,15492,14816.6,187
17362,3,15492,15715.75,187
19243,4,17363,16725.06,188
20438,5,18538,17713.38,190
22585,6,20685,18793.96,190
21335,7,19405,19150.79,193
21335,8,19405,19492.08,193
21972,9,20032,19746.39,194
21972,10,20032,20007.64,194
22898,11,20948,20456.11,195
22898,12,20948,21002.96,195
22743,13,20783,21369.29,196
22743,14,20783,21674.71,196
22743,15,20783,22027.74,196
23431,16,21471,21895.42,196
23431,17,21471,22128.57,196
23431,18,21471,22102.35,196
23599,19,21639,22281.67,196
23599,20,21639,22023.99,196
23599,21,21639,21957.45,196
23599,22,21639,22172.23,196
23599,23,21639,22402.53,196
23599,24,21639,22426.83,196
23608,25,21638,22592.62,197
23608,26,21638,22592.24,197
23608,27,21638,22735.21,197
23608,28,21638,22706.22,197
23608,29,21638,22846.23,197
23608,30,21638,22733.9,197
23608,31,21638,22901.97,197
23608,32,21638,22709.66,197
23608,33,21638,22923.17,197
23608,34,21638,22742.92,197
23608,35,21638,22832.01,197
23608,36,21638,22896.61,197
23608,37,21638,22993.42,197
23608,38,21638,22927.31,197
23608,39,21638,23160.3,197
23521,40,21541,22963.8,198
23521,41,21541,22990.44,198
23521,42,21541,23182.69,198
23521,43,21541,23044.75,198
23521,44,21541,23022.16,198
23521,45,21541,23044.52,198
23521,46,21541,23086.94,198
23521,47,21541,23048.39,198
23521,48,21541,22963.26,198
23521,49,21541,22892.52,198
23521,50,21541,22873.08,198
23521,51,21541,22926.42,198
23521,52,21541,22807.82,198
23521,53,21541,22718.99,198
23521,54,21541,22797.86,198
23521,55,21541,22676.1,198
24816,56,22836,22787.29,198
23876,57,21886,22840.22,199
23876,58,21886,22739.1,199
23876,59,21886,22775.79,199
23876,60,21886,22724.63,199
23876,61,21886,22681.91,199
23876,62,21886,22752.1,199
23876,63,21886,22503.54,199
23876,64,21886,22636.42,199
23876,65,21886,22641.3,199
23876,66,21886,22460.78,199
22808,67,20808,22628.87,200
22808,68,20808,22735.59,200
22808,69,20808,22531.17,200
22808,70,20808,22643.24,200
22808,71,20808,22642.31,200
22808,72,20808,22617.23,200
22808,73,20808,22597.59,200
22808,74,20808,22703.66,200
22808,75,20808,22862.9,200
22808,76,20808,22735.6,200
22808,77,20808,23279.73,200
23590,78,21590,23043.48,200
23590,79,21590,23081.86,200
23590,80,21590,23461.31,200
23590,81,21590,23415.61,200
24945,82,22945,23193.66,200
24945,83,22945,23258.52,200
24945,84,22945,23224.98,200
24945,85,22945,23192.28,200
24945,86,22945,23227.3,200
24945,87,22945,23202.8,200
24945,88,22945,23213.89,200
24945,89,22945,23547.79,200
24945,90,22945,23528.42,200
24945,91,22945,23588.03,200
24945,92,22945,23385.2,200
24945,93,22945,23392.52,200
24945,94,22945,23309.3,200
24945,95,22945,23264.71,200
24945,96,22945,23251.9,200
24945,97,22945,23365.29,200
24945,98,22945,23265.39,200
225800,99,21790,23442.55,201
