Fitness,GenerationId,BestWeight,AverageWeight,SatisfiedClauses
10993,0,9133,12403.06,186
13414,1,11544,14092.74,187
19546,2,17656,15177,189
19546,3,17656,15971.48,189
19117,4,17207,16678.79,191
19117,5,17207,17305.61,191
19117,6,17207,17966.31,191
19117,7,17207,18362.71,191
19117,8,17207,18697.83,191
19117,9,17207,18887.23,191
19117,10,17207,19132.92,191
19117,11,17207,19280.04,191
19117,12,17207,19762.89,191
19117,13,17207,19921.4,191
23877,14,21947,20108.57,193
23938,15,22008,20624.08,193
24381,16,22451,21089.28,193
24704,17,22774,21491.36,193
23226,18,21286,21691.28,194
24726,19,22766,21898.3,196
24726,20,22766,21961.84,196
24726,21,22766,22196.29,196
24726,22,22766,22363.44,196
24726,23,22766,22219.86,196
24702,24,22722,22200.42,198
24702,25,22722,22211.01,198
24702,26,22722,22328.25,198
24702,27,22722,22419.78,198
24702,28,22722,22530.55,198
24702,29,22722,22439.51,198
24702,30,22722,22370.23,198
24702,31,22722,22478.91,198
24702,32,22722,22532.32,198
24702,33,22722,22557.44,198
24702,34,22722,22517.4,198
24702,35,22722,22634.04,198
24702,36,22722,22910.28,198
24702,37,22722,22903.64,198
24702,38,22722,22808.12,198
24702,39,22722,22792.9,198
24702,40,22722,22886.1,198
24702,41,22722,22971.28,198
24702,42,22722,23125.67,198
24702,43,22722,23023.13,198
24702,44,22722,23085.63,198
24702,45,22722,23163.06,198
24702,46,22722,23278.9,198
24702,47,22722,23217.7,198
24702,48,22722,23223.8,198
24711,49,22721,23094.68,199
24408,50,22408,23075.28,200
24708,51,22708,22992.62,200
24708,52,22708,22861.54,200
24708,53,22708,22620.53,200
24708,54,22708,22700.83,200
24708,55,22708,22736.43,200
24708,56,22708,22967.83,200
24708,57,22708,22751.02,200
24708,58,22708,22786.48,200
25062,59,23062,22727.05,200
25062,60,23062,22598.14,200
25062,61,23062,22460.24,200
25062,62,23062,22707.39,200
25144,63,23144,22950.49,200
25144,64,23144,22922.96,200
25144,65,23144,22803.76,200
25144,66,23144,23039.89,200
25144,67,23144,23092.18,200
25144,68,23144,23097.24,200
25144,69,23144,22846.11,200
25144,70,23144,22938.96,200
25144,71,23144,23135.52,200
25360,72,23360,23139.08,200
25360,73,23360,23348.28,200
25360,74,23360,23255.93,200
25360,75,23360,23097.82,200
25360,76,23360,23162.87,200
25714,77,23714,23114.28,200
25714,78,23714,23058.44,200
227424,79,23414,23373.22,201
227424,80,23414,23404.95,201
227424,81,23414,23456.02,201
227424,82,23414,23426,201
227424,83,23414,23244.17,201
227424,84,23414,23147.91,201
227424,85,23414,23196.69,201
227424,86,23414,22891.3,201
227424,87,23414,22732.69,201
227424,88,23414,22948.58,201
227424,89,23414,23209.76,201
227424,90,23414,23284.54,201
227424,91,23414,23032.71,201
227424,92,23414,22929.57,201
227424,93,23414,23047.55,201
227424,94,23414,22948.82,201
227424,95,23414,23034.52,201
227424,96,23414,22963.2,201
227424,97,23414,23075.77,201
227424,98,23414,23248.63,201
227424,99,23414,23078.04,201
