MaxFitness,AverageFitness,GenerationId,BestWeight,SatisfiedClauses,AdaptiveMutationRate,ASD
11743469,11053580.9675,0,27341,288,0,0
11743469,11159381.055,1,27341,288,0.0199817549488638,10722.7915150425
11945310,11246669.675,2,25777,293,0.019981913270620395,10738.669709317443
11945310,11328031.34,3,25777,293,0.019981893099936202,10824.426560552754
11986563,11382288.2325,4,26349,294,0.01998281669813031,10340.53693051033
12068902,11459021.8975,5,27326,296,0.019981047800247783,11447.300452456895
12070670,11503314.5375,6,29094,296,0.019982084756975174,10857.97551977013
12070670,11570337.605,7,29094,296,0.019984734173789345,9220.47543208482
12192253,11627143.7875,8,28634,299,0.019985458222688303,8784.01367255877
12232352,11702370.845,9,28052,300,0.01998568232551529,8792.815939344282
12311279,11736975.21,10,25617,302,0.019985292827918274,9059.506600368435
12311279,11756778.275,11,25617,302,0.019984723999413433,9410.543034315386
12312461,11764023.41,12,26799,302,0.01998596148329187,8647.674823373922
12432643,11785519.575,13,24938,305,0.019985668848210483,8915.092876355211
12432643,11804579.2975,14,24938,305,0.019984163956220963,9851.994772884353
12432643,11878775.165,15,24938,305,0.019986268104080173,8542.05291329453
12432643,11891005.0875,16,24938,305,0.019986638392423428,8311.557633852393
12434143,11950045.7875,17,26438,305,0.01998665822758158,8303.547950394986
12434143,11969659.64,18,26438,305,0.019986826177074563,8195.65831314571
12479016,12015435.4075,19,30630,306,0.019986657187936255,8304.265525207678
12479016,12016829.88,20,30630,306,0.01998766598285695,7701.400636750077
12479016,12058987.9775,21,30630,306,0.019988613959178,7108.376092737354
12479016,12066969.28,22,30630,306,0.01998796277197061,7515.161144138661
12561648,12088311.04,23,31900,308,0.01998811861697804,7467.245609492335
12561648,12124529.9175,24,31900,308,0.01998781567224526,7680.822826683055
12561648,12143846.915,25,31900,308,0.019988238136015857,7391.766807424764
12561648,12153380.2475,26,31900,308,0.019989020045720958,6900.104176889967
12561648,12182182.765,27,31900,308,0.019989556345934953,6562.90234403183
12561648,12162356.5875,28,31900,308,0.019987904439512514,7601.6059445488945
12561648,12161282.15,29,31900,308,0.019988407800235843,7285.0791537940595
12561648,12181293.1775,30,31900,308,0.019988526566246747,7210.398209293714
12561648,12176478.3225,31,31900,308,0.019988334348649994,7331.266497419969
12601783,12191346.9575,32,31354,309,0.019988877292914646,7012.196783652889
12601783,12170665.2625,33,31354,309,0.01998895450126564,6963.49467243854
12601783,12185057.6925,34,31354,309,0.01998867246356098,7141.40253132583
12601783,12186406.465,35,31354,309,0.019989287844368004,6753.230119434287
12601783,12194731.885,36,31354,309,0.019989004009608548,6955.517305323302
12602582,12206258.245,37,32153,309,0.019988942977304507,6971.20579882678
12602582,12243743.105,38,32153,309,0.019989244806860422,6780.806617608481
12602582,12225371.0825,39,32153,309,0.01998923357383137,6787.892499026996
12602582,12239815.43,40,32153,309,0.01998859822931059,7188.970326659094
12642480,12246804.5375,41,31370,310,0.019988938599066884,6996.046307103703
12643012,12266003.18,42,31902,310,0.019990407895558848,6066.308861167989
12643012,12286192.05,43,31902,310,0.01998973356165191,6493.2682985414485
12643012,12269055.7525,44,31902,310,0.019989737122757072,6491.014831263674
12643012,12264188.7025,45,31902,310,0.019989634155116395,6556.173076333497
12643547,12271108.64,46,32437,310,0.019989548699932226,6610.249893881998
12643547,12273400.54,47,32437,310,0.019989355934177024,6732.520394705044
12643547,12281576.0125,48,32437,310,0.019989668373704732,6535.170084158442
12643768,12276838.8575,49,32658,310,0.019989057183638134,6921.976962440617
12644007,12260425.0025,50,32897,310,0.019988072911281903,7544.666428644163
12644007,12256448.8125,51,32897,310,0.01998873384984821,7126.830733563654
12644007,12262183.9075,52,32897,310,0.01998822708495765,7447.224787530546
12644007,12285039.4575,53,32897,310,0.019988794111277863,7088.3383287219895
12644007,12257392.3625,54,32897,310,0.019988579130702847,7224.403015094052
12644007,12282173.7225,55,32897,310,0.019989610186907973,6571.857491764023
12644007,12282815.205,56,32897,310,0.01998950433609286,6638.846350578122
12644007,12297348.865,57,32897,310,0.019989829168551156,6433.274789427861
12644007,12278371.465,58,32897,310,0.019989093955685867,6898.56683629195
12644939,12280520.6325,59,33829,310,0.019988356131476356,7366.088848779792
